ID,Player,Debut,Age,Yrs,Draft_Position,Team,Draft_Status,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,3P_PCT,FT_PCT,MP_Avg_Per_Gm,PTS_Avg_Per_Gm,TRB_Avg_Per_Gm,AST_Avg_Per_Gm,STL_Avg_Per_Gm,BLK_Avg_Per_Gm
1,Deandre Ayton,"Oct 17, '18, PHO vs. DAL",20,7,1,Phoenix Suns,Drafted,398,12272,2905,4926,28,122,704,932,1219,4167,649,292,380,688,1051,6542,0.59,0.23,0.755,30.8,16.4,10.5,1.6,0.7,1
2,Marvin Bagley III,"Oct 17, '18, SAC vs. UTA",19,7,2,Sacramento Kings,Drafted,289,6467,1402,2705,125,431,550,797,664,1889,253,130,181,331,536,3479,0.518,0.29,0.69,22.4,12,6.5,0.9,0.4,0.6
3,Luka Doncic,"Oct 17, '18, DAL @ PHO",19,7,3,Atlanta Hawks,Drafted,450,15712,4359,9321,1378,3938,2782,3704,427,3881,3700,556,203,1777,1028,12878,0.468,0.35,0.751,34.9,28.6,8.6,8.2,1.2,0.5
4,Jaren Jackson Jr.,"Oct 17, '18, MEM @ IND",19,7,4,Memphis Grizzlies,Drafted,407,11639,2658,5700,704,2008,1498,1891,548,2258,602,414,777,762,1485,7518,0.466,0.351,0.792,28.6,18.5,5.5,1.5,1,1.9
5,Trae Young,"Oct 17, '18, ATL @ NYK",20,7,5,Dallas Mavericks,Drafted,483,16622,3865,8935,1277,3628,3213,3679,299,1687,4748,505,74,2051,841,12220,0.433,0.352,0.873,34.4,25.3,3.5,9.8,1,0.2
6,Mo Bamba,"Oct 17, '18, ORL vs. MIA",20,7,6,Orlando Magic,Drafted,364,6115,953,1998,291,818,264,387,555,1980,306,132,460,287,749,2461,0.477,0.356,0.682,16.8,6.8,5.4,0.8,0.4,1.3
7,Wendell Carter Jr.,"Oct 18, '18, CHI @ PHI",19,7,7,Chicago Bulls,Drafted,383,10447,1723,3384,278,880,841,1154,880,3173,765,247,281,583,1108,4565,0.509,0.316,0.729,27.3,11.9,8.3,2,0.6,0.7
8,Collin Sexton,"Oct 17, '18, CLE @ TOR",20,7,8,Cleveland Cavaliers,Drafted,407,12157,2784,5921,611,1578,1479,1764,357,1144,1505,317,53,951,920,7658,0.47,0.387,0.838,29.9,18.8,2.8,3.7,0.8,0.1
9,Kevin Knox II,"Oct 17, '18, NYK vs. ATL",19,7,9,New York Knicks,Drafted,320,5606,825,2097,340,1001,332,459,172,893,233,121,83,259,488,2322,0.393,0.34,0.723,17.5,7.3,2.8,0.7,0.4,0.3
10,Mikal Bridges,"Oct 17, '18, PHO vs. DAL",22,7,10,Philadelphia 76ers,Drafted,556,18514,3059,6318,977,2631,1109,1316,490,2207,1517,650,317,691,1032,8204,0.484,0.371,0.843,33.3,14.8,4,2.7,1.2,0.6
11,Shai Gilgeous-Alexander,"Oct 17, '18, LAC vs. DEN",20,7,11,Charlotte Hornets,Drafted,462,15291,3943,7872,614,1729,2794,3243,351,2211,2362,666,370,1072,1044,11294,0.501,0.355,0.862,33.1,24.4,4.8,5.1,1.4,0.8
12,Miles Bridges,"Oct 17, '18, CHO vs. MIL",20,6,12,LA Clippers,Drafted,424,13070,2493,5399,732,2155,924,1119,469,2627,1135,322,294,675,790,6642,0.462,0.34,0.826,30.8,15.7,6.2,2.7,0.8,0.7
13,Jerome Robinson,"Oct 26, '18, LAC @ HOU",21,4,13,LA Clippers,Drafted,135,1685,198,548,80,269,69,97,21,214,136,52,29,83,194,545,0.361,0.297,0.711,12.5,4,1.6,1,0.4,0.2
14,Michael Porter Jr.,"Oct 31, '19, DEN @ NOP",21,6,14,Denver Nuggets,Drafted,345,10036,2123,4247,843,2074,508,639,474,2209,485,206,201,402,666,5597,0.5,0.406,0.795,29.1,16.2,6.4,1.4,0.6,0.6
15,Troy Brown Jr.,"Oct 24, '18, WAS @ GSW",19,6,15,Washington Wizards,Drafted,356,6778,824,1949,306,873,242,309,257,1288,508,235,42,235,461,2196,0.423,0.351,0.783,19,6.2,3.6,1.4,0.7,0.1
16,Zhaire Smith,"Mar 25, '19, PHI @ ORL",19,2,16,Phoenix Suns,Drafted,13,143,17,45,6,19,8,12,3,15,12,5,2,8,12,48,0.378,0.316,0.667,11,3.7,1.2,0.9,0.4,0.2
17,Donte DiVincenzo,"Oct 17, '18, MIL @ CHO",22,7,17,Milwaukee Bucks,Drafted,416,10611,1583,3710,917,2415,386,500,378,1783,1199,495,112,596,745,4469,0.427,0.38,0.772,25.5,10.7,4.3,2.9,1.2,0.3
18,Lonnie Walker IV,"Jan 3, '19, SAS vs. TOR",20,7,18,San Antonio Spurs,Drafted,342,7025,1268,3007,497,1396,385,484,88,791,518,184,93,306,453,3418,0.422,0.356,0.795,20.5,10,2.3,1.5,0.5,0.3
19,Kevin Huerter,"Oct 17, '18, ATL @ NYK",20,7,19,Atlanta Hawks,Drafted,482,13566,2113,4788,1023,2726,352,463,275,1638,1414,444,166,583,1081,5601,0.441,0.375,0.76,28.1,11.6,3.4,2.9,0.9,0.3
20,Josh Okogie,"Oct 20, '18, MIN @ DAL",20,7,20,Minnesota Timberwolves,Drafted,416,7952,852,2096,271,907,666,891,448,1230,480,388,175,346,710,2641,0.406,0.299,0.747,19.1,6.3,3,1.2,0.9,0.4
21,Grayson Allen,"Oct 22, '18, UTA vs. MEM",23,7,21,Utah Jazz,Drafted,403,10227,1416,3140,855,2064,563,657,205,1216,812,293,112,399,636,4250,0.451,0.414,0.857,25.4,10.5,3,2,0.7,0.3
22,Chandler Hutchison,"Oct 18, '18, CHI @ PHI",22,4,22,Chicago Bulls,Drafted,103,1790,216,489,34,110,92,143,55,376,79,62,18,76,140,558,0.442,0.309,0.643,17.4,5.4,3.7,0.8,0.6,0.2
23,Aaron Holiday,"Oct 17, '18, IND vs. MEM",22,7,23,Indiana Pacers,Drafted,448,7366,1054,2504,428,1119,361,424,127,709,900,262,80,387,645,2897,0.421,0.382,0.851,16.4,6.5,1.6,2,0.6,0.2
24,Anfernee Simons,"Oct 30, '18, POR @ HOU",19,7,24,Portland Trail Blazers,Drafted,389,10420,2069,4804,967,2539,732,832,133,973,1265,200,48,627,707,5837,0.431,0.381,0.88,26.8,15,2.5,3.3,0.5,0.1
25,Moritz Wagner,"Nov 17, '18, LAL @ ORL",21,7,25,Los Angeles Lakers,Drafted,363,6051,1187,2259,260,802,694,860,368,1436,439,185,109,418,791,3328,0.525,0.324,0.807,16.7,9.2,4,1.2,0.5,0.3
26,Landry Shamet,"Oct 16, '18, PHI @ BOS",21,7,26,Philadelphia 76ers,Drafted,398,8389,1112,2693,720,1871,369,443,92,662,597,190,56,264,671,3313,0.413,0.385,0.833,21.1,8.3,1.7,1.5,0.5,0.1
27,Robert Williams III,"Oct 22, '18, BOS vs. ORL",21,7,27,Boston Celtics,Drafted,235,4754,751,1039,1,7,188,279,588,1603,325,172,388,204,445,1691,0.723,0.143,0.674,20.2,7.2,6.8,1.4,0.7,1.7
28,Jacob Evans,"Oct 22, '18, GSW vs. PHO",21,2,28,Golden State Warriors,Drafted,59,622,63,187,17,54,25,30,15,66,54,16,15,36,69,168,0.337,0.315,0.833,10.5,2.8,1.1,0.9,0.3,0.3
